gender,product_type,name,name_english,website_url,status
Women,Dress,Đầm xếp li,Pleated Dresses,www.maisononline.vn/collections/dam-xep-li,published
Women,Dress,Đầm bút chì,Pencil Dresses,www.maisononline.vn/collections/dam-but-chi,published
Women,Dress,Đầm trễ vai,Off Shoulder Dresses,www.maisononline.vn/collections/dam-tre-vai,published
Women,Dress,Đầm body,Body Dresses,www.maisononline.vn/collections/dam-om-body,published
Women,Dress,Đầm polo,Polo Dresses,www.maisononline.vn/collections/dam-thun-polo,published
Women,Dress,Đầm xếp tầng,Frill Dresses,www.maisononline.vn/collections/dam-xep-tang,published
Women,Dress,Đầm cut out,Cut out Dresses,www.maisononline.vn/collections/dam-xe-cut-out,published
Women,Dress,Đầm denim,Denim Dresses,www.maisononline.vn/collections/dam-denim,published
Men,Shirt,Áo khoác lông,Faux Fur & Shearling Jackets,www.maisononline.vn/collections/ao-khoac-long-nam,published
Men,Shirt,Áo khoác phao,Puffer Jackets,www.maisononline.vn/collections/ao-khoac-phao-nam,published
Men,Shirt,Áo khoác gilet,Waistcoats & Gilets,www.maisononline.vn/collections/ao-khoac-gilet-nam,published
Men,Shirt,Áo khoác blazer,Blazers,www.maisononline.vn/collections/ao-khoac-blazer-nam,published
Men,Shirt,Áo khoác bomber,Bomber Jackets,www.maisononline.vn/collections/ao-khoac-bomber-nam,published
Men,Shirt,Áo khoác cardigan,Cardigans Jackets,www.maisononline.vn/collections/ao-khoac-cardigan-nam,published
Men,Shirt,Áo khoác phối mũ,Hooded Jackets,www.maisononline.vn/collections/ao-khoac-phoi-mu-nam,published
Men,Shirt,Áo khoác bóng chày,Varsity Jackets,www.maisononline.vn/collections/ao-khoac-bong-chay-nam,published
Men,Shirt,Áo khoác phom rộng,Oversized Jackets,www.maisononline.vn/collections/ao-khoac-phom-rong-nam,published
Men,Shirt,Áo khoác sơ mi,Shirt Jackets,www.maisononline.vn/collections/ao-khoac-so-mi-nam-1,published
Men,Shirt,Áo khoác denim,Denim Jackets,www.maisononline.vn/collections/ao-khoac-denim-nam,published
Men,Shirt,Áo khoác gilet,Waistcoats & Gilets,www.maisononline.vn/collections/ao-khoac-gilet-nam,published
Men,Shirt,Áo khoác dệt kim,Knitted Jackets,www.maisononline.vn/collections/ao-khoac-det-kim-nam,published
Men,Shirt,Áo khoác thể thao,Sports Jackets,www.maisononline.vn/collections/ao-khoac-the-thao-nam-do-the-thao,published
Men,Shirt,Áo khoác gió,Lightweight Jackets,www.maisononline.vn/collections/ao-khoac-gio-nam,published
Women,Shirt,Áo khoác da,Leather Jackets,www.maisononline.vn/collections/ao-khoac-da-nu,published
Women,Shirt,Áo khoác lông,Faux Fur & Shearling Jackets,www.maisononline.vn/collections/ao-khoac-long-nu,published
Women,Shirt,Áo khoác phao,Puffer Jackets,www.maisononline.vn/collections/ao-khoac-phao-nu,published
Women,Shirt,Áo khoác gilet ,Waistcoats & Gilets,www.maisononline.vn/collections/ao-khoac-gilet-nu,published
Women,Shirt,Áo khoác blazer,Blazers,www.maisononline.vn/collections/ao-khoac-blazer-nu-1,published
Women,Shirt,Áo khoác croptop,Cropped Jackets,www.maisononline.vn/collections/ao-khoac-croptop-nu,published
Women,Shirt,Áo khoác bomber,Bomber Jackets,www.maisononline.vn/collections/ao-khoac-bomber-nu,published
Women,Shirt,Áo khoác cardigan,Cardigans Jackets,www.maisononline.vn/collections/ao-khoac-cardigan-nu,published
Women,Shirt,Áo khoác phối mũ,Hooded Jackets,www.maisononline.vn/collections/ao-khoac-phoi-mu-nu,published
